"spkid","full_name","name","diameter","e","a","q","i","om","w","ma","albedo","n","epoch"
3748555,"       (2016 GV)",,,0.1775,1.136,0.935,29.03,8.23,111.45,53.08,,0.8136,2457480.5
3748557,"       (2016 GW)",,,0.4297,1.732,0.988,17.28,190.84,55.24,340.19,,0.4324,2457482.5
3748556,"       (2016 GX)",,,0.3842,1.054,0.649,1.21,20.52,291.83,283.65,,0.9102,2457481.5
3748554,"       (2016 GY)",,,0.3501,1.646,1.070,4.78,191.53,10.39,12.11,,0.4668,2460600.5
3748552,"       (2016 GZ)",,,0.5297,2.529,1.190,3.85,192.04,17.01,38.73,,0.245,2460600.5
3748565,"       (2016 GA1)",,,0.5921,1.624,0.662,22.42,191.32,266.93,29.34,,0.4763,2457481.5
3748562,"       (2016 GB1)",,,0.7802,2.071,0.455,4.72,172.18,154.27,279.36,,0.3306,2460600.5
3748558,"       (2016 GC1)",,,0.3572,1.466,0.942,1.50,42.27,213.41,331.43,,0.5552,2457484.5
3748564,"       (2016 GD1)",,,0.3788,1.975,1.227,5.63,14.94,201.63,17.80,,0.3551,2460600.5
3748560,"       (2016 GE1)",,,0.5195,2.064,0.992,10.68,15.47,197.74,306.79,,0.3324,2460600.5
3748563,"       (2016 GF1)",,,0.5074,1.99,0.980,0.25,273.10,242.40,26.50,,0.351,2460600.5
3748561,"       (2016 GG1)",,,0.3607,1.612,1.030,6.20,190.08,0.04,64.11,,0.4817,2460600.5
3748566,"       (2016 GH1)",,,0.3128,1.445,0.993,2.78,11.69,201.67,309.50,,0.5672,2460600.5
3748568,"       (2016 GV1)",,,0.4455,1.512,0.839,5.96,22.52,106.57,238.71,,0.5299,2460600.5
3749024,"       (2016 GB2)",,,0.5315,2.32,1.087,1.52,3.83,195.22,358.14,,0.279,2457479.5
3749022,"       (2016 GC2)",,,0.4892,2.278,1.164,10.37,18.90,131.23,14.53,,0.2866,2457480.5
3749028,"       (2016 GD2)",,,0.4946,1.95,0.986,4.32,17.10,139.62,10.72,,0.362,2457480.5
3749025,"       (2016 GE2)",,,0.5355,2.458,1.142,7.67,209.47,38.77,64.19,,0.2558,2460600.5
3749026,"       (2016 GF2)",,,0.5889,2.168,0.891,7.85,193.85,50.15,348.03,,0.3088,2457481.5
3749030,"       (2016 GG2)",,,0.5049,2.117,1.048,8.49,25.74,224.94,261.39,,0.3199,2460600.5
3749031,"       (2016 GK2)",,,0.4308,1.562,0.889,0.93,7.66,127.45,157.43,,0.5047,2460600.5
3749032,"       (2016 GL2)",,,0.2654,1.451,1.066,14.94,186.66,340.39,331.68,,0.5637,2460600.5
3749033,"       (2016 GM2)",,,0.6148,2.602,1.002,2.12,41.53,184.46,4.38,,0.2348,2460600.5
3749034,"       (2016 GN2)",,,0.1462,0.939,0.802,10.38,18.49,334.62,343.49,,1.083,2460600.5
3749062,"       (2016 GQ2)",,,0.8665,2.552,0.341,11.63,226.39,177.88,18.78,,0.2418,2457486.5
3749064,"       (2016 GR2)",,,0.4702,2.146,1.137,4.09,177.99,21.71,257.94,,0.3135,2460600.5
3749066,"       (2016 GS2)",,,0.3166,1.336,0.913,3.86,63.82,226.07,135.39,,0.6383,2460600.5
3749065,"       (2016 GT2)",,,0.3471,1.618,1.057,16.28,16.30,193.14,353.06,,0.4788,2457481.5
3749070,"       (2016 GU2)",,,0.9574,2.052,0.087,10.27,16.52,21.03,14.13,,0.3353,2457484.5
3749068,"       (2016 GV2)",,,0.5950,2.618,1.060,11.81,0.28,212.59,355.71,,0.2327,2457482.5
